Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE:Zone Thermostat Air Temperature [C](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/13  20:00:00,6.1375,20.,1182152.13268759 
 01/13  21:00:00,2.7875,20.,986234.955242193 
 01/13  22:00:00,0.925,20.,1326710.86452646 
 01/13  23:00:00,2.5625,20.,1428857.59702229 
 01/13  24:00:00,3.625,20.,1300043.16525601 
 01/14  01:00:00,3.575,20.,1239501.5300468 
 01/14  02:00:00,3.1875,20.,1409928.22562497 
 01/14  03:00:00,2.9375,20.,1982804.70797804 
 01/14  04:00:00,2.9,20.,2534458.72937347 
 01/14  05:00:00,3.0875,19.9999999999999,2720193.70239908 
 01/14  06:00:00,2.7625,20.,2709611.96287585 
 01/14  07:00:00,1.8125,20.,3174490.86611875 
 01/14  08:00:00,1.4625,20.,3679422.11795603 
 01/14  09:00:00,1.6875,20.,3355598.57632182 
 01/14  10:00:00,2.3625,20.0000000000002,3173013.05405441 
 01/14  11:00:00,2.575,20.,2848385.6962565 
 01/14  12:00:00,2.6875,20.,2847154.0340098 
 01/14  13:00:00,2.925,19.9999999999999,2293060.20075652 
 01/14  14:00:00,1.875,20.0000000000001,2035632.5763811 
 01/14  15:00:00,1.6375,20.,1923271.45371125 
 01/14  16:00:00,4.0875,20.,1645347.34928645 
 01/14  17:00:00,5.2125,20.,1588909.74717627 
 01/14  18:00:00,4.85,20.,1774717.23051471 
 01/14  19:00:00,3.8875,20.0000000000001,1342500.83991137 
 01/14  20:00:00,3.65,20.,1333553.15590224 
 01/14  21:00:00,3.8,20.,1156646.34556065 
 01/14  22:00:00,3.8625,20.,1097438.1921451 
 01/14  23:00:00,3.525,20.,1083892.24125537 
 01/14  24:00:00,3.2375,20.,1117936.90668211 
 01/15  01:00:00,2.075,20.,1210950.14107519 
 01/15  02:00:00,1.65,20.,1502219.76843099 
 01/15  03:00:00,2.3,20.,2018274.39153888 
 01/15  04:00:00,2.225,20.,2315083.03619567 
 01/15  05:00:00,2.3125,20.0000000000001,2685871.77277268 
 01/15  06:00:00,2.0625,19.9999999999999,2849484.41985404 
 01/15  07:00:00,2.05,19.9999999999999,2892412.53983843 
 01/15  08:00:00,1.575,20.0000000000001,2837929.06504288 
 01/15  09:00:00,0.95,20.,3399901.08592464 
 01/15  10:00:00,1.2375,20.,2662049.14490187 
 01/15  11:00:00,1.75,20.0000000000002,2169041.26828124 
 01/15  12:00:00,2.15,20.0000000000001,1448406.84523128 
 01/15  13:00:00,2.425,20.0000000000001,1269324.3520276 
 01/15  14:00:00,2.25,20.0000000000001,1195383.07822674 
 01/15  15:00:00,2.1625,20.,991784.646918899 
 01/15  16:00:00,1.575,20.,990923.677478219 
 01/15  17:00:00,0.575,20.0000000000001,1956060.01481241 
 01/15  18:00:00,-5.000000000000000E-02,20.,2353088.62294919 
 01/15  19:00:00,5.000000000000000E-02,20.0000000000001,2380783.10541759 
 01/15  20:00:00,7.500000000000000E-02,20.,1732044.32396097 
 01/15  21:00:00,0.3125,20.0000000000001,1696980.59216144 
 01/15  22:00:00,0.625,20.,1620069.67289855 
 01/15  23:00:00,0.7625,20.,1562026.28651132 
 01/15  24:00:00,0.925,20.,1510858.4480238 
 01/16  01:00:00,0.8125,20.,1817565.70227945 
 01/16  02:00:00,1.0125,20.,1854428.8187145 
 01/16  03:00:00,1.7,20.0000000000001,1933346.44878542 
 01/16  04:00:00,1.5625,20.0000000000001,2784140.36044165 
 01/16  05:00:00,1.675,20.,2856032.32068373 
 01/16  06:00:00,2.0875,19.9999999999999,2995340.12805897 
 01/16  07:00:00,1.575,20.,2991431.24931821 
 01/16  08:00:00,1.2625,19.9999999999999,2982387.74050894 
 01/16  09:00:00,1.55,20.0000000000001,2963094.95948996 
 01/16  10:00:00,1.825,20.,2635910.25116934 
 01/16  11:00:00,2.15,20.,1741708.86799619 
 01/16  12:00:00,2.05,20.0000000000001,1084394.02054803 
 01/16  13:00:00,2.8375,20.0000000000001,934812.792695362 
 01/16  14:00:00,3.525,20.0000000000001,1310281.21450849 
 01/16  15:00:00,3.4125,20.0000000000001,1252995.35739422 
 01/16  16:00:00,2.9875,20.0000000000001,1230161.97118075 
 01/16  17:00:00,2.8,20.0000000000001,2227987.48401859 
 01/16  18:00:00,2.925,19.9999999999999,2506763.72443282 
